Year;Maximum Water Height (m);Total Deaths;Total Damage ($Mil);Total Houses Destroyed;Total Houses Damaged;Country
1800;;;;;;PORTUGAL
1802;;;;;;CROATIA
1802;;;;;;ANTIGUA AND BARBUDA
1802;;;;;;UK
1802;;;;;;VENEZUELA
1802;;;;;;INDONESIA
1802;;;;1100;;ALGERIA
1802;;19;;1060;;JAPAN
1804;;;;;;GREECE
1804;;;;;;SPAIN
1804;;;;;;GREECE
1804;1;450;;10810;300;JAPAN
1804;;;;;;ITALY
1805;;;;;;GREECE
1805;5;;;1;;AUSTRALIA
1805;;;;;;ITALY
1806;;;;;;USA
1806;;;;;;ITALY
1806;1;;;;;PERU
1806;1.5;;;;;FRENCH POLYNESIA
1808;0.15;2;;;;ITALY
1808;1.5;;;;;JAPAN
1808;;;;;;JAPAN
1809;;;;;;ITALY
1809;;;;;;PORTUGAL
1809;;;;;;SOUTH AFRICA
1809;;;;;;USA TERRITORY
1810;;;;;;GREECE
1810;;;;;;MEXICO
1810;1;57;;1084;;JAPAN
1810;;;;;;NEW ZEALAND
1810;;;;;;NORWAY
1811;4;;;;;CHILE
1811;;;;;;USA
1811;;;;;;USA
1812;;;;;;USA
1812;;;;;;USA
1812;;26000;;;;VENEZUELA
1812;;;;;;FRANCE
1812;;;;;;JAMAICA
1812;3.4;1;;;;USA
1812;;;;;;USA
1813;;;;;;ITALY
1813;;;;;;USA
1814;;;;;;INDONESIA
1815;4;60000;;;;INDONESIA
1815;;;;;;INDONESIA
1815;;11453;;;;INDONESIA
1816;;;;;;PORTUGAL
1816;;;;;;INDONESIA
1816;;;;;;JAPAN
1817;;;;;;GREECE
1817;0.3;;;;;USA
1817;;;;;;ITALY
1817;5;;;;;GREECE
1818;;;;;;GREECE
1818;;72;;;;ITALY
1818;;;;;;ITALY
1818;;;;;;INDONESIA
1818;3.5;;;;;INDONESIA
1818;;;;;;ITALY
1819;;;;;;ITALY
1819;4;;;;;CHILE
1819;;1543;;1547;;INDIA
1819;;;;;;NORWAY
1819;;;;;;USA TERRITORY
1820;;;;;;USA
1820;;;;;;GREECE
1820;4;;;;;MEXICO
1820;;;;;;ITALY
1820;;8;;79;;GREECE
1820;25;500;;;;INDONESIA
1820;;;;;;USA
1820;;;;;;CONGO
1821;;;;;;GREECE
1821;;;;;;COSTA RICA
1821;;3;;;;UK TERRITORY
1821;;;;;;USA
1821;;;;;;INDONESIA
1822;;;;;;LEBANON
1822;;;;;;ITALY
1822;;;;;;COSTA RICA
1822;;8000;;;;TURKEY
1822;3.6;72;;;;CHILE
1823;;;;;;ITALY
1823;2.74;;;;;USA
1823;;;;;;CROATIA
1823;0.3;;;;;INDONESIA
1823;;;;;;CROATIA
1823;;;;;;MARTINIQUE (FRENCH TERRITORY)
1824;;;;;;GUADELOUPE (FRENCH TERRITORY)
1824;;;;;;PHILIPPINES
1824;;;;;;MARTINIQUE (FRENCH TERRITORY)
